participant,repetition,start time,end time,hand coordination,hand delay,eye coordination,eye delay,overall coordination,overall delay
1,2,0,10,94.36416861730133,11.060000000000002,89.50287005702332,53.88,90.61819602897214,-37.39000000000001
1,2,10,20,94.31971632434653,49.12000000000001,89.31345024909977,112.65000000000003,90.61472922643458,-38.42999999999999
1,2,20,30,94.42560538667568,26.590000000000003,89.3828594216703,29.240000000000002,90.4130040198727,-4.25
1,2,0,30,96.71208604567211,35.85,93.74123422151077,62.84999999999999,94.3241118112556,-55.50000000000001
1,3,0,1,82.28248233984054,44.51000000000001,70.62006089310746,104.29,72.65134672934201,-20.830000000000005
1,3,1,2,74.55074484732579,-188.15,72.22802146728866,-4.2700000000000005,68.96066343770875,-170.86
1,3,2,3,81.58076036771267,-100.49000000000001,66.61158990150787,-170.93000000000004,71.568333891919,37.550000000000004
1,3,3,4,79.90216955971266,-122.73000000000002,64.0641348930809,-220.91000000000005,72.31630495840787,3.78
1,3,4,5,80.57258558187861,-114.02000000000002,45.599469742607376,-645.0400000000002,51.39702659349046,-539.8400000000001
1,3,5,6,84.63187162500554,-13.590000000000003,67.91018718009524,162.93,68.95399059449625,-171.48000000000002
1,3,6,7,80.7186861341672,65.83,70.62111802903826,104.26,72.58631876980245,-62.480000000000004
1,3,7,8,79.89398230623635,77.19000000000003,68.80244375629324,146.37000000000003,67.69032230328386,-198.96000000000004
1,3,8,9,81.91818655662584,48.720000000000006,66.60884535250361,-171.0,64.20388953599104,196.97
1,3,9,10,84.17582614110145,-53.12,64.49042661038041,-212.54000000000002,66.84250677251553,145.97000000000003
1,3,10,11,84.60313382159397,-10.990000000000004,68.9898046971407,-120.88,68.49012518466392,112.57000000000001
1,3,11,12,83.51681954492088,22.450000000000006,71.49498271853852,79.32000000000001,72.602935696065,-45.81000000000002
1,3,12,13,84.62645284796398,-34.65,68.81952445992523,146.04000000000002,68.95820659094349,-171.13
1,3,13,14,82.81268050577847,-81.54,62.88860007276435,262.95000000000005,61.19988055732267,-320.99000000000007
1,3,14,15,84.68492978075855,-28.370000000000005,72.15121475161847,-6.9300000000000015,72.51983942920236,-29.470000000000006
1,3,15,16,82.42218581604011,42.62000000000001,70.97500847714753,-70.92000000000002,68.06747271269496,120.99000000000001
1,3,16,17,84.69506929939273,-20.400000000000006,72.03660865145835,-29.170000000000005,72.24898150044275,12.450000000000003
1,3,17,18,84.50271436960463,-5.750000000000002,72.22864867677889,-4.07,72.37616281287563,-3.95
1,3,18,19,84.24597493926555,4.000000000000001,67.36946789315908,179.11999999999998,70.28145222411891,-137.62
1,3,19,20,79.45006453918695,-128.58,71.91377087889893,54.11,66.48585891624786,-220.96
1,3,20,21,83.71263960997143,-64.47,70.30485846545263,112.42,69.594540830367,-154.1
1,3,21,22,78.64438047118476,-138.38000000000002,68.6455204557123,-129.31,72.3856118470083,-4.33
1,3,22,23,80.3033955626763,71.34,69.37334798168192,-112.5,64.26548902413668,195.92000000000002
1,3,23,24,84.61491156239659,-11.790000000000003,58.510557666374154,-329.2200000000001,71.5718230246598,37.470000000000006
1,3,24,25,84.5786439169609,-37.300000000000004,66.52833700457457,195.88000000000002,65.08686108628582,-245.87000000000003
1,3,25,26,84.23177799167351,4.65,62.48429164946737,271.0,64.30575452843848,-262.62
1,3,26,27,83.69717341392987,19.130000000000003,62.911426661195605,262.5,63.45986762159511,-279.17
1,3,27,28,84.41348478132066,-45.370000000000005,70.67753137371626,-79.27,70.64511498362155,62.400000000000006
1,3,28,29,84.48347881675076,-4.840000000000002,70.68352541379794,-79.11,70.63616832861767,62.56
1,3,29,30,84.44242596879909,-2.730000000000001,70.68292707233344,-79.13000000000001,70.63579513788687,62.57
1,3,0,10,94.59470862013852,-26.500000000000007,88.97921838666127,-37.43000000000001,89.15205314302389,13.570000000000002
1,3,10,20,94.59293571183936,-19.540000000000003,89.04063973574414,62.28000000000001,89.0487889099689,-87.45
1,3,20,30,94.59473131423842,-26.480000000000008,89.27075081564327,20.900000000000006,89.33922521439371,-45.710000000000015
1,3,0,30,96.8068987209747,-25.010000000000005,93.5118369239246,20.600000000000005,93.58225512793209,-37.730000000000004
1,4,0,1,71.40971065924178,177.85999999999999,65.11639870762679,212.47000000000003,68.49269708653122,-20.600000000000005
1,4,1,2,78.0378117538745,78.00999999999999,68.70450337845222,112.33999999999999,68.4936713443635,-20.990000000000006
1,4,2,3,80.17500909653467,-22.220000000000002,68.50207792903696,-79.24000000000001,67.06931438279857,62.42
1,4,3,4,78.67674568926503,-68.18,65.4188670752705,-154.18,66.0281664173308,95.83
1,4,4,5,79.25473264978896,-53.14,68.50036087440515,-79.27999999999999,67.8400234580512,28.930000000000003
